,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
0,down,210.0,199.425816,311.36835319999994,167.084,167.084,191.081616,303.02415319999994,joey
1,down,210.0,199.425816,311.36835319999994,167.084,167.084,191.081616,303.02415319999994,ion
2,down,319.494,293.046504,404.9890412,171.50799999999998,171.50799999999998,284.652216,396.59475319999996,joey
3,up,319.494,293.046504,404.9890412,171.50799999999998,171.50799999999998,284.652216,396.59475319999996,ion
4,down,339.29400000000004,310.237304,422.17984119999994,172.308,172.308,301.288104,413.2306412,joey
5,stop,339.29400000000004,310.237304,422.17984119999994,172.308,172.308,301.288104,413.2306412,ion
6,down,359.094,327.508104,439.45064119999995,173.108,173.108,318.862704,430.80524119999995,joey
7,stop,359.094,327.508104,439.45064119999995,173.108,173.108,318.862704,430.80524119999995,ion
8,down,369.19199999999995,336.347016,448.28955319999994,173.516,173.516,327.508104,439.45064119999995,joey
9,down,369.19199999999995,336.347016,448.28955319999994,173.516,173.516,327.508104,439.45064119999995,ion
10,stop,388.596,353.39,463.0,174.3,-174.3,344.337216,456.27975319999996,joey
11,up,388.596,486.184704,330.50487200000003,180.292,-180.292,477.71981600000004,338.952088,joey
12,stop,388.596,486.184704,330.50487200000003,180.292,-180.292,477.71981600000004,338.952088,ion
13,up,278.904,587.294136,229.61908799999998,184.72400000000002,-184.72400000000002,577.146416,239.74260800000002,joey
14,stop,278.904,587.294136,229.61908799999998,184.72400000000002,-184.72400000000002,577.146416,239.74260800000002,ion
15,stop,170.4,556.885848,94.52905,-189.108,-282.25,566.123328,108.33048799999999,joey
16,up,170.4,556.885848,94.52905,-189.108,-282.25,566.123328,108.33048799999999,ion
17,down,170.4,490.53973600000006,30.6728,-191.9,285.04200000000003,499.72328799999997,17.0,joey
18,down,288.606,374.788016,202.26851000000002,-196.676,289.818,384.396328,188.077032,joey
19,up,288.606,374.788016,202.26851000000002,-196.676,289.818,384.396328,188.077032,ion
20,down,309.39599999999996,354.137136,232.7435,-197.516,290.658,363.982936,218.2206,joey
21,down,319.098,344.468456,246.99534599999998,-197.908,291.05,354.137136,232.7435,joey
22,down,339.096,324.479848,276.4322,-198.71599999999998,291.858,334.978088,260.974962,joey
23,down,358.89599999999996,304.608392,305.658,-199.516,292.658,315.149032,290.158362,joey
24,down,368.598,294.84171200000003,320.007846,-199.908,293.05,304.608392,305.658,joey
25,down,387.80400000000003,275.450736,348.47133199999996,-200.68400000000003,293.82599999999996,285.654408,333.49661000000003,joey
26,stop,387.80400000000003,275.450736,348.47133199999996,-200.68400000000003,293.82599999999996,285.654408,333.49661000000003,joey
27,up,387.80400000000003,234.428128,408.5783,-202.31599999999997,295.45799999999997,245.3182,392.635232,joey
28,up,269.202,112.04556799999999,343.700464,-207.108,-300.25,122.988584,359.580006,joey
29,up,259.302,101.700168,328.697964,-207.50799999999998,-300.65,112.04556799999999,343.700464,joey
30,up,239.304,80.742056,298.33251,-208.31599999999997,-301.45799999999997,91.956128,314.57625,joey
31,up,220.296,60.743736,269.392558,-209.084,-302.226,70.54417600000001,283.570672,joey
32,down,220.296,60.743736,269.392558,-209.084,-302.226,70.54417600000001,283.570672,ion
33,up,210.59400000000002,50.508224,254.593088,-209.476,-302.618,60.743736,269.392558,joey
34,up,190.2,28.9322,223.42343799999998,-210.3,-303.442,39.835352,239.16997400000002,joey
35,up,190.2,28.9322,223.42343799999998,-210.3,-303.442,39.835352,239.16997400000002,ion
36,up,170.00400000000002,17.0,192.472354,211.11599999999999,-152.129,18.217304000000002,207.9583,joey
37,down,170.00400000000002,17.0,192.472354,211.11599999999999,-152.129,18.217304000000002,207.9583,ion
38,up,160.30200000000002,27.354288,185.027637,211.50799999999998,-152.52100000000002,17.0,192.472354,joey
39,up,140.7,48.332784000000004,169.928158,212.3,-153.313,37.304,177.867986,joey
40,up,120.70200000000001,69.815888,154.443581,213.108,-154.121,59.3832,161.966698,joey
41,stop,120.70200000000001,69.815888,154.443581,213.108,-154.121,59.3832,161.966698,joey
42,down,120.70200000000001,320.62472,58.068225,222.324,163.33700000000002,308.63088799999997,49.259691,joey
43,stop,120.70200000000001,320.62472,58.068225,222.324,163.33700000000002,308.63088799999997,49.259691,ion
44,stop,199.11,409.292288,123.37694099999999,225.49200000000002,166.505,397.8026,114.89558999999998,joey
45,stop,199.11,409.292288,123.37694099999999,225.49200000000002,166.505,397.8026,114.89558999999998,ion
46,down,199.11,565.5083440000001,328.76684,-235.084,176.097,577.2325440000001,319.97199,joey
47,down,308.802,434.267952,427.552242,-239.516,180.52900000000002,447.405032,417.635247,joey
48,down,308.802,434.267952,427.552242,-239.516,180.52900000000002,447.405032,417.635247,ion
49,down,328.20599999999996,410.795528,445.2825,-240.3,181.313,423.25867999999997,435.86504,joey
50,stop,328.20599999999996,410.795528,445.2825,-240.3,181.313,423.25867999999997,435.86504,ion
51,down,347.61,387.246144,463.0,-241.084,-182.097,399.270344,453.99474000000004,joey
52,down,358.30199999999996,374.239272,453.178426,-241.516,-182.52900000000002,387.246144,463.0,joey
53,stop,358.30199999999996,374.239272,453.178426,-241.516,-182.52900000000002,387.246144,463.0,ion
54,stop,367.41,363.13800000000003,444.790556,-241.88400000000001,-182.89700000000002,374.239272,453.178426,joey
55,down,367.41,363.13800000000003,444.790556,-241.88400000000001,-182.89700000000002,374.239272,453.178426,ion
56,up,367.41,363.13800000000003,444.790556,-241.88400000000001,-182.89700000000002,374.239272,453.178426,joey
57,stop,367.41,363.13800000000003,444.790556,-241.88400000000001,-182.89700000000002,374.239272,453.178426,ion
58,up,248.21400000000003,216.316152,333.478882,-246.7,-187.713,228.86664,343.021033,joey
59,up,229.00799999999998,192.386256,315.270725,-247.476,-188.489,204.237456,324.290549,joey
60,down,229.00799999999998,192.386256,315.270725,-247.476,-188.489,204.237456,324.290549,ion
61,up,218.514,179.281264,305.292044,-247.9,-188.91299999999998,192.386256,315.270725,joey
62,stop,208.812,167.143768,296.044911,-248.292,-189.305,179.281264,305.292044,joey
63,down,208.812,167.143768,296.044911,-248.292,-189.305,179.281264,305.292044,ion
64,up,208.812,117.156296,257.913826,-249.9,-190.91299999999998,129.37258400000002,267.23975099999996,joey
65,up,100.30799999999999,42.3884,162.035984,254.28400000000002,-98.0485,29.6842,166.908409,joey
66,stop,80.31,68.11188800000001,152.1330895,255.092,-98.8565,55.1126,157.143559,joey
67,stop,80.31,68.11188800000001,152.1330895,255.092,-98.8565,55.1126,157.143559,ion
68,down,80.31,446.938688,27.8975735,266.70799999999997,110.4725,433.613288,22.3839485,joey
69,stop,129.414,513.328288,55.540769499999996,268.692,112.4565,500.440288,50.1520735,joey
70,down,129.414,513.328288,55.540769499999996,268.692,112.4565,500.440288,50.1520735,ion
71,down,129.414,594.295888,89.63771949999999,271.092,114.8565,580.751288,83.9048945,joey
72,up,129.414,594.295888,89.63771949999999,271.092,114.8565,580.751288,83.9048945,ion
73,stop,248.412,499.56359199999997,133.9405392,-275.9,61.63625,513.8779440000001,130.7462702,joey
74,up,248.412,499.56359199999997,133.9405392,-275.9,61.63625,513.8779440000001,130.7462702,ion
75,down,248.412,457.87232800000004,143.338817,-277.108,62.84425,471.69772800000004,140.2066045,joey
76,stop,248.412,457.87232800000004,143.338817,-277.108,62.84425,471.69772800000004,140.2066045,ion
77,stop,268.014,430.43864,149.5996017,-277.9,63.63625,444.026928,146.4910295,joey
78,up,268.014,375.057392,162.42161950000002,-279.492,65.22825,389.280272,159.10538269999998,joey
79,stop,198.31799999999998,276.322336,185.8775795,-282.308,68.04425,290.407736,182.485367,joey
80,down,198.31799999999998,75.1368,269.1867702,291.48400000000004,77.22025,60.5726,265.3357577,joey
81,stop,198.31799999999998,75.1368,269.1867702,291.48400000000004,77.22025,60.5726,265.3357577,ion
82,stop,228.612,119.82748799999999,281.0951045,292.70799999999997,78.44425,104.909784,277.1048517,joey
83,stop,228.612,119.82748799999999,281.0951045,292.70799999999997,78.44425,104.909784,277.1048517,ion
84,down,228.612,325.7882,337.71398270000003,298.284,84.02025,311.181888,333.60659449999997,joey
85,stop,228.612,325.7882,337.71398270000003,298.284,84.02025,311.181888,333.60659449999997,ion
86,stop,298.704,431.88199999999995,367.9584152,301.116,86.85225,415.6334,363.2800577,joey
87,down,298.704,506.1986,389.5661327,303.084,88.82025,491.0544,385.1351202,joey
88,up,298.704,506.1986,389.5661327,303.084,88.82025,491.0544,385.1351202,ion
89,stop,357.906,597.17832,416.4809915,305.476,91.21225,583.1348879999999,412.29369199999996,joey
90,stop,357.906,597.17832,416.4809915,305.476,91.21225,583.1348879999999,412.29369199999996,ion
91,up,357.906,154.858408,354.0390935,-318.29200000000003,-104.02825,170.425904,359.1076657,joey
92,stop,338.50199999999995,123.66580800000001,343.84434100000004,-319.07599999999996,-104.81225,138.953808,348.847681,joey
93,stop,338.50199999999995,123.66580800000001,343.84434100000004,-319.07599999999996,-104.81225,138.953808,348.847681,ion
94,up,338.50199999999995,43.106384000000006,317.279382,-321.092,-106.82825,59.130984,322.59079449999996,joey
95,stop,249.6,587.987352,252.6790315,-159.876,159.876,595.951152,244.6952315,joey
96,down,249.6,587.987352,252.6790315,-159.876,159.876,595.951152,244.6952315,ion
97,down,249.6,441.21983200000005,399.8074315,-167.076,167.076,449.211832,391.7969995,joey
98,down,249.6,441.21983200000005,399.8074315,-167.076,167.076,449.211832,391.7969995,ion
99,stop,319.098,382.224176,458.9439115,-169.88400000000001,169.88400000000001,390.857048,450.29023150000006,joey
100,stop,319.098,382.224176,458.9439115,-169.88400000000001,169.88400000000001,390.857048,450.29023150000006,ion
101,up,319.098,339.774472,428.865008,-171.87599999999998,-171.87599999999998,347.655376,436.74591200000003,joey
102,down,319.098,339.774472,428.865008,-171.87599999999998,-171.87599999999998,347.655376,436.74591200000003,ion
103,up,200.1,235.27347999999998,324.364016,-176.68400000000003,-176.68400000000003,244.07768,333.16821600000003,joey
104,stop,200.1,235.27347999999998,324.364016,-176.68400000000003,-176.68400000000003,244.07768,333.16821600000003,ion
105,up,180.3,217.60508,306.69561600000003,-177.484,-177.484,226.44928,315.53981600000003,joey
