label,leftPaddle_y,rightPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
down,210,0,52.769904,280.176495,159.908,159.908,44.625,272.031591,joey
down,328.602,0,149.99,377.396591,164.7,164.7,141.929304,369.335895,joey
stop,338.7,0,158.400104,385.806695,165.108,165.108,149.99,377.396591,joey
up,338.7,0,191.581704,418.988295,166.708,166.708,183.256304,410.662895,joey
stop,309,0,216.677904,444.084495,167.908,167.908,208.460016,435.866607,joey
up,309,0,241.954104,463,169.108,-169.108,233.508704,460.915295,joey
stop,289.2,0,258.904904,446.0892,169.908,-169.908,250.419504,454.5546,joey
up,289.2,0,293.046504,412.027808,171.508,-171.508,284.481104,420.573208,joey
stop,259.302,0,319.035416,386.099864,172.716,-172.716,309.720416,395.391536,joey
up,259.302,0,336.347016,368.828664,173.516,-173.516,326.815736,378.335744,joey
stop,230.394,0,361.765616,343.466992,174.684,-174.684,353.041416,352.171192,joey
up,230.394,0,370.684904,334.568512,175.092,-175.092,361.765616,343.466992,joey
stop,200.892,0,396.862416,308.450432,176.284,-176.284,388.585904,316.709272,joey
up,200.892,0,406.04,299.29448,176.7,-176.7,396.862416,308.450432,joey
stop,170.994,0,432.812904,272.58248,177.908,-177.908,423.395016,281.977896,joey
up,170.994,0,450.465,254.969624,178.7,-178.7,441.896616,263.519576,joey
stop,141.888,0,476.820336,228.671928,179.876,-179.876,467.836536,237.635728,joey
up,141.888,0,495.028616,210.504456,180.684,-180.684,485.824136,219.688128,joey
stop,111.594,0,522.766904,182.828656,181.908,-181.908,513.5,192.074752,joey
up,111.594,0,549.593816,156.059416,183.084,-183.084,540.449616,165.183616,joey
stop,81.696,0,577.330704,128.383656,184.292,-184.292,568.126104,137.568256,joey
up,81.696,0,614.720904,91.075152,185.908,-185.908,605.064504,100.70992,joey
stop,32.394,0,585.28916,44.635472,-187.9,-187.9,595.214152,54.560464,joey
down,32.394,0,528.48984,46.023488,-190.308,190.308,538.542456,35.9484,joey
stop,62.094,0,499.913848,74.659688,-191.508,191.508,510.220288,64.32992,joey
down,62.094,0,481.146128,93.465888,-192.292,192.292,490.921808,83.6694,joey
down,171.588,0,373.808272,201.0266,-196.716,196.716,384.200512,190.611888,joey
down,191.19,0,354.333584,220.540688,-197.508,197.508,364.7678,210.084,joey
down,210.396,0,335.175344,239.7366,-198.284,198.284,345.059544,229.8324,joey
down,220.692,0,324.875392,250.058184,-198.7,198.7,335.175344,239.7366,joey
down,240.888,0,304.608136,270.3672,-199.516,199.516,315.347008,259.605,joey
down,259.896,0,285.454616,289.5576,-200.284,200.284,294.841456,280.153088,joey
down,269.796,0,275.450416,299.5818,-200.684,200.684,285.454616,289.5576,joey
down,289.596,0,255.382032,319.6902,-201.484,201.484,265.626504,309.42492,joey
stop,289.596,0,255.382032,319.6902,-201.484,201.484,265.626504,309.42492,joey
down,289.596,0,224.725696,350.408184,-202.7,202.7,235.233648,339.8786,joey
stop,318.9,0,194.69696,380.4954,-203.884,203.884,204.86116,370.3112,joey
down,318.9,0,143.576056,431.7164,-205.884,205.884,153.840256,421.4322,joey
stop,368.4,0,91.955264,452.6358,-207.884,-207.884,102.319464,463,joey
up,368.4,0,60.742728,421.423264,-209.084,-209.084,70.751112,431.431648,joey
stop,328.404,0,18.426176,379.106712,-210.7,-210.7,29.140664,389.8212,joey
up,328.404,0,70.021,316.08152,213.084,-213.084,59.589488,326.493824,joey
stop,258.906,0,145.306288,240.93776,215.892,-215.892,136.030328,250.198928,joey
up,258.906,0,177.563,208.740288,217.084,-217.084,166.7188,219.564488,joey
stop,218.91,0,221.577184,164.807736,218.7,-218.7,210.2156,176.147688,joey
up,218.91,0,242.82872,143.593872,219.476,-219.476,232.522184,153.882736,joey
stop,189.012,0,276.0608,110.422744,220.684,-220.684,265.697488,120.768384,joey
up,189.012,0,297.94772,88.575032,221.476,-221.476,287.105,99.398544,joey
stop,138.918,0,354.237184,32.387992,223.5,-223.5,342.849088,43.75528,joey
down,138.918,0,421.1954,61.568216,225.884,225.884,409.9112,50.284016,joey
stop,168.816,0,455.395088,95.767904,227.092,227.092,443.8238,84.196616,joey
down,168.816,0,466.5322,106.905016,227.484,227.484,455.395088,95.767904,joey
stop,198.516,0,500.7448,141.117616,228.684,228.684,490.2338,130.606616,joey
down,198.516,0,523.882688,164.255504,229.492,229.492,511.95992,152.332736,joey
stop,228.612,0,558.857888,199.230704,230.708,230.708,546.871888,187.244704,joey
down,228.612,0,593.554088,233.926904,231.908,231.908,581.968688,222.341504,joey
stop,317.514,0,552.365464,303.664316,-235.5,118.958,564.110464,297.726416,joey
