label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev
down,210,199.42581599999997,311.36835315826477,167.08399999999995,167.08399999999995,191.08161599999997,303.02415315826477
down,319.49399999999997,293.04650399999986,404.98904115826474,171.50799999999992,171.50799999999992,284.65221599999984,396.5947531582647
down,339.294,310.23730399999977,422.1798411582647,172.3079999999999,172.3079999999999,301.2881039999998,413.23064115826475
down,359.09399999999994,327.5081039999998,439.4506411582647,173.10799999999992,173.10799999999992,318.8627039999998,430.8052411582647
down,369.19199999999995,336.34701599999977,448.2895531582647,173.5159999999999,173.5159999999999,327.5081039999998,439.4506411582647
stop,388.59599999999995,353.38999999999976,463,174.2999999999999,-174.2999999999999,344.3372159999998,456.2797531582647
up,388.59599999999995,486.18470399999967,330.50487199999986,180.29199999999983,-180.29199999999983,477.7198159999997,338.9520879999999
up,278.904,587.2941359999995,229.61908799999995,184.7239999999998,-184.7239999999998,577.1464159999995,239.74260799999993
stop,170.40000000000003,556.8858479999999,94.5290500000001,-189.10799999999978,-282.24999999999966,566.1233279999999,108.33048800000009
down,170.40000000000003,490.5397359999998,30.672799999999985,-191.89999999999975,285.0419999999997,499.7232879999998,17
down,288.60600000000005,374.78801599999986,202.26850999999976,-196.67599999999973,289.81799999999964,384.3963279999998,188.07703199999978
down,309.396,354.1371359999998,232.7434999999997,-197.51599999999974,290.6579999999996,363.9829359999998,218.22059999999973
down,319.098,344.4684559999999,246.99534599999967,-197.90799999999973,291.0499999999996,354.1371359999998,232.7434999999997
down,339.096,324.4798479999999,276.43219999999957,-198.71599999999972,291.8579999999996,334.9780879999999,260.9749619999996
down,358.89599999999996,304.60839199999987,305.65799999999945,-199.51599999999974,292.65799999999956,315.14903199999986,290.1583619999995
down,368.59799999999996,294.8417119999999,320.00784599999946,-199.90799999999973,293.04999999999956,304.60839199999987,305.65799999999945
down,387.804,275.45073599999995,348.47133199999945,-200.6839999999997,293.82599999999957,285.65440799999993,333.49660999999946
stop,387.804,275.45073599999995,348.47133199999945,-200.6839999999997,293.82599999999957,285.65440799999993,333.49660999999946
up,387.804,234.428128,408.5782999999993,-202.3159999999997,295.4579999999996,245.31819999999996,392.6352319999993
up,269.202,112.04556800000019,343.70046400000007,-207.10799999999966,-300.2499999999995,122.98858400000017,359.580006
up,259.302,101.7001680000002,328.69796400000007,-207.50799999999967,-300.64999999999947,112.04556800000019,343.70046400000007
up,239.304,80.74205600000023,298.33251000000007,-208.31599999999966,-301.45799999999946,91.95612800000022,314.5762500000001
up,220.296,60.74373600000027,269.3925580000001,-209.08399999999966,-302.22599999999943,70.54417600000025,283.5706720000001
up,210.594,50.50822400000029,254.59308800000014,-209.47599999999966,-302.6179999999994,60.74373600000027,269.3925580000001
up,190.2,28.93220000000032,223.4234380000002,-210.29999999999964,-303.44199999999944,39.835352000000306,239.16997400000017
up,170.00399999999996,17,192.47235400000025,211.11599999999962,-152.12899999999973,18.21730400000034,207.95830000000024
up,160.30199999999996,27.35428799999998,185.02763700000025,211.5079999999996,-152.52099999999973,17,192.47235400000025
up,140.69999999999996,48.33278399999994,169.92815800000028,212.2999999999996,-153.31299999999973,37.30399999999996,177.86798600000026
up,120.70199999999997,69.81588799999989,154.4435810000003,213.1079999999996,-154.12099999999973,59.38319999999992,161.9666980000003
stop,120.70199999999997,69.81588799999989,154.4435810000003,213.1079999999996,-154.12099999999973,59.38319999999992,161.9666980000003
down,120.70199999999997,320.62471999999934,58.06822499999992,222.3239999999995,163.33699999999962,308.63088799999935,49.25969099999993
stop,199.11,409.292287999999,123.37694099999975,225.49199999999945,166.50499999999957,397.8025999999991,114.89558999999977
down,199.11,565.508344,328.7668399999991,-235.0839999999994,176.09699999999953,577.232544,319.97198999999915
down,308.80199999999996,434.26795200000015,427.55224199999867,-239.51599999999942,180.52899999999954,447.4050320000001,417.63524699999874
down,328.20599999999996,410.7955280000002,445.2824999999986,-240.29999999999941,181.31299999999953,423.2586800000002,435.86503999999866
down,347.60999999999996,387.2461440000003,463,-241.0839999999994,-182.09699999999953,399.27034400000025,453.99473999999856
down,358.30199999999996,374.2392720000003,453.178426,-241.5159999999994,-182.5289999999995,387.2461440000003,463
stop,367.40999999999997,363.1380000000003,444.79055600000004,-241.8839999999994,-182.8969999999995,374.2392720000003,453.178426
up,367.40999999999997,363.1380000000003,444.79055600000004,-241.8839999999994,-182.8969999999995,374.2392720000003,453.178426
up,248.214,216.31615200000047,333.4788820000002,-246.69999999999936,-187.71299999999948,228.86664000000044,343.0210330000002
up,229.008,192.38625600000054,315.2707250000003,-247.47599999999935,-188.48899999999946,204.2374560000005,324.2905490000003
up,218.514,179.28126400000056,305.2920440000003,-247.89999999999935,-188.91299999999947,192.38625600000054,315.2707250000003
stop,208.812,167.1437680000006,296.04491100000035,-248.29199999999935,-189.30499999999947,179.28126400000056,305.2920440000003
up,208.812,117.1562960000007,257.9138260000005,-249.89999999999932,-190.91299999999944,129.37258400000067,267.2397510000004
up,100.30800000000002,42.38839999999993,162.0359840000008,254.28399999999934,-98.04849999999973,29.68419999999997,166.9084090000008
stop,80.31000000000002,68.11188799999987,152.1330895000008,255.09199999999933,-98.85649999999974,55.1125999999999,157.1435590000008
down,80.31000000000002,446.9386879999988,27.89757349999998,266.70799999999923,110.47249999999978,433.6132879999989,22.38394849999999
stop,129.41400000000002,513.3282879999987,55.54076949999993,268.6919999999992,112.45649999999979,500.4402879999987,50.152073499999936
down,129.41400000000002,594.2958879999983,89.63771949999987,271.09199999999913,114.8564999999998,580.7512879999983,83.90489449999988
stop,248.41200000000003,499.5635920000001,133.9405392499998,-275.89999999999895,61.636249999999905,513.8779440000001,130.7462702499998
down,248.41200000000003,457.87232800000027,143.33881699999978,-277.1079999999989,62.8442499999999,471.6977280000002,140.2066044999998
stop,268.014,430.4386400000004,149.59960174999975,-277.8999999999989,63.636249999999905,444.02692800000034,146.49102949999977
